,title,recommended_movies
21,Copycat,"['While the City Sleeps', 'The Ugly', 'Kalifornia', 'Frisk', 'Chronicles']"
22,Assassins,"['Fulltime Killer', 'Branded to Kill', 'Lockdown', 'Short Time', 'The Killer']"
23,Powder,"['Die, Monster, Die!', 'Unbreakable', 'Watermelon Man', 'Phantasm', 'The Butterfly Effect']"
24,Leaving Las Vegas,"['Cat on a Hot Tin Roof', 'Days of Wine and Roses', 'Drunks', 'American Heart', 'A Star Is Born']"
25,Othello,"['Macbeth', 'Tromeo & Juliet', 'Richard III', 'O', 'Benji: Off the Leash!']"
26,Now and Then,"['The Grass Harp', 'It Runs in the Family', 'Get Real', 'Lovely & Amazing', 'Jack and the Beanstalk']"
27,Persuasion,"['An American Rhapsody', 'Anywhere But Here', 'Anne of Green Gables', 'Meet John Doe', 'The Turning Point']"
28,The City of Lost Children,"['Little Nemo: Adventures In Slumberland', 'The Eighth Day', 'Final Fantasy: The Spirits Within', 'Time Out', 'The Carriers Are Waiting']"
29,Shanghai Triad,"['Bird of Prey', 'Suzhou River', 'Flowers of Shanghai', 'Nicholas Nickleby', 'The Secret Garden']"
30,Dangerous Minds,"['Light It Up', 'Home Room', 'To Sir, with Love', 'Elephant', 'Born Rich']"
31,Twelve Monkeys,"['28 Days Later', 'Event Horizon', 'Adrenalin: Fear the Rush', 'Outbreak', 'Crazy As Hell']"
32,Wings of Courage,"['The Cabinet of Dr. Ramirez', 'Baton Rouge', 'Salut cousin !', 'Lola Montès', 'Rendezvous in Paris']"
33,Babe,"['Babe: Pig in the City', 'Gordy', 'Forever Young', ""The Best Man's Wedding"", 'Shiloh']"
34,Carrington,"['Artemisia', 'Regeneration', ""Jason's Lyric"", '200 Cigarettes', 'Goldfish Memory']"
35,Dead Man Walking,"[""Jason's Lyric"", 'How I Killed My Father', 'City By The Sea', 'The Proprietor', 'Slaves of New York']"
36,Across the Sea of Time,"['Harry and Tonto', 'The Cookout', 'Edison, the Man', 'Nicholas Nickleby', 'Honeysuckle Rose']"
37,It Takes Two,"['Snow days', 'The Parent Trap', 'The Parent Trap', 'The Baby-Sitters Club', 'A Smile Like Yours']"
38,Clueless,"['Hiding Out', 'Sweet Hearts Dance', 'Tart', 'Anywhere But Here', 'Home Room']"
39,"Cry, the Beloved Country","['City By The Sea', 'The Proprietor', 'Slaves of New York', 'Panic', 'The Holcroft Covenant']"
40,Richard III,"['Macbeth', 'Henry V', 'Richard III', 'Chimes at Midnight', 'Titus']"
41,Dead Presidents,"['Midway', 'More American Graffiti', 'Monsignor', 'The Crew', 'Guadalcanal Diary']"
42,Restoration,"['Lancelot of the Lake', 'The Inheritance', 'The Truman Show', 'Stardust Memories', 'Honeysuckle Rose']"
43,Mortal Kombat,"['Mortal Kombat: Annihilation', 'Incubus', 'Fist of the North Star', 'Dragonslayer', 'The 7th Voyage of Sinbad']"
44,To Die For,"['Barbarians at the Gate', 'Holy Man', 'Out Cold', ""L'associé"", 'Snow days']"
45,How To Make An American Quilt,"['Foreign Student', 'Love and Other Catastrophes', 'Two Girls and a Guy', 'If Lucy Fell', 'Lost in Yonkers']"
46,Se7en,"['Relentless', 'Tightrope', 'The Bone Collector', 'Taking Lives', 'The Cheap Detective']"
47,Pocahontas,"['Fantasia', 'Return to Never Land', 'Beauty and the Beast', 'Fun & Fancy Free', 'Lianna']"
48,When Night Is Falling,"['Lianna', 'The Woman in the Window', 'Cross Creek', 'Two Moon Junction', 'Hard to Hold']"
49,The Usual Suspects,"['Bait', 'Love, Honour and Obey', 'Gorky Park', 'The Deathmaker', 'At Close Range']"
50,Guardian Angel,"['When Strangers Appear', 'The Hi-Line', 'Valmont', 'Diva', 'Monsieur Hire']"
51,Mighty Aphrodite,"['Flirting with Disaster', 'The Boost', 'Dad', 'Snow days', '101 Reykjavik']"
52,Lamerica,"['Kaspar Hauser', 'Prince of Central Park', 'Under The Domim Tree', 'Bruno', 'Avanti!']"
53,The Big Green,"['Parenthood', 'The Pacifier', 'Mr. Nanny', 'LadyBugs', 'Night Crossing']"
54,Georgia,"['The Harder They Come', 'No Way Home', 'The Doors', 'Henry Fool', 'Grace of My Heart']"
55,Kids of the Round Table,"['Excalibur', 'Quest for Camelot', 'Prince Valiant', 'A Boy Called Hate', 'Bartleby']"
56,Home for the Holidays,"['Lovely & Amazing', 'Snow days', 'Mixed Nuts', 'Tortilla Soup', 'I Like It Like That']"
57,The Postman,"['A Fine Madness', 'Sylvia', 'Steel Magnolias', 'Le Divorce', 'Dil Se..']"
58,The Confessional,"['Commandments', 'Interview with the Assassin', 'Lost Embrace', 'Colonel Chabert', 'Boogeyman']"
59,The Indian in the Cupboard,"['Andre', 'Nicholas Nickleby', 'White Fang 2: Myth of the White Wolf', 'Jason and the Argonauts', 'Rocket Gibraltar']"
60,Eye for an Eye,"['Lipstick', 'A Time to Kill', 'Death Wish 2', 'The Girl', 'The Accused']"
61,Mr. Holland's Opus,"['Honeysuckle Rose', 'Pennies from Heaven', 'Theremin: An Electronic Odyssey', 'Carousel', 'Joseph and the Amazing Technicolor Dreamcoat']"
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"['Brighton Beach Memoirs', 'Harry and Tonto', 'The Good Son', 'The Code', 'Trees Lounge']"
63,Two If by Sea,"['Shampoo', 'Tempest', 'Stealing Rembrandt', 'Educating Rita', 'Snow days']"
64,Bio-Dome,"['The Thin Man Goes Home', 'Love Finds Andy Hardy', 'The Secret Garden', 'Carnal Knowledge', 'Ben-Hur: A Tale of the Christ']"
65,Lawnmower Man 2: Beyond Cyberspace,"['Hackers', 'WarGames', 'The Matrix', 'The Lawnmower Man', 'Demon Seed']"
66,Two Bits,"['Honeysuckle Rose', 'The Inheritance', 'P.S. Your Cat Is Dead!', 'Carried Away', 'Sweet Nothing']"
67,French Twist,"['Ouch', 'Salut cousin !', 'Rendezvous in Paris', 'Wings of Courage', 'Snow days']"
68,Friday,"['Next Friday', ""L'associé"", 'Snow days', 'Some Girl', 'A Boy Called Hate']"
69,From Dusk Till Dawn,"['From Dusk Till Dawn 2: Texas Blood Money', 'Desperado', 'Innocent Blood', 'In China They Eat Dogs', 'Silent Rage']"
70,Fair Game,"['Terminal Velocity', 'Shakedown', 'Dirty Harry', 'Crime Story', 'The Girl']"
71,Kicking and Screaming,"['College', 'Educating Rita', 'The Paper Chase', ""Trippin'"", 'Star Maps']"
72,Les Miserables,"['Story of Women', 'A Self-Made Hero', 'A Murder of Crows', ""Schindler's List"", 'The Shop on Main Street']"
73,Bed of Roses,"['Dil Se..', 'Bootmen', 'Zebrahead', 'Two Girls and a Guy', ""What's Eating Gilbert Grape""]"
74,Big Bully,"['Chinese Odyssey 2002', 'Better Living', ""I'll Never Forget What's'isname"", 'Sidekicks', 'The Hanging Garden']"
75,Screamers,"['Parts: The Clonus Horror', 'Island of Lost Souls', 'Aliens of the Deep', 'Blood of Ghastly Horror', 'Phantasm']"
76,Nico Icon,"['Storefront Hitchcock', 'One True Thing', 'Dark Days', 'Cinemania', 'Grey Gardens']"
77,The Crossing Guard,"['Panic', 'Penitentiary II', 'Commandments', 'Sweet Nothing', 'Honeysuckle Rose']"
78,The Juror,"['Trial by Jury', 'Before and After', '12 Angry Men', 'Gloria', 'A Time to Kill']"
79,The White Balloon,"['Andre', 'The Day I Became a Woman', 'Fuzz', 'Search and Destroy', 'When Will I Be Loved']"
80,Things to Do in Denver When You're Dead,"[""Jane Austen's Mafia!"", 'GoodFellas', 'The Krays', 'The General', 'The Narrow Margin']"
81,Antonia's Line,"['His Secret Life', 'Divine Secrets of the Ya-Ya Sisterhood', 'Tea with Mussolini', 'Nobody Loves Me', 'Soldier of Orange']"
82,Once Upon a Time... When We Were Colored,"['Together', 'Our Town', 'Mr. Destiny', 'Bar Girls', 'The Code']"
83,Last Summer in the Hamptons,"['Cheaper by the Dozen', ""What's Cooking?"", 'It Runs in the Family', 'The Baby-Sitters Club', 'Parenthood']"
84,Angels and Insects,"['The Low Down', ""The Emperor's Club"", 'College', 'Passion of Mind', 'The Shipping News']"
85,White Squall,"['The Proprietor', 'Slaves of New York', 'Tex', 'Get Real', 'Stand by Me']"
86,Dunston Checks In,"['A Hole in the Head', 'The Inheritance', 'Blank Check', 'Nicholas Nickleby', 'Benji: Off the Leash!']"
87,Black Sheep,"['F/X2', 'Lovers and Other Strangers', 'Breaking In', 'Phantasm IV: Oblivion', 'Fun in Acapulco']"
88,Nick of Time,"['Lockdown', 'The Godfather: Part III', 'Brother', 'Falling Down', 'Death Wish 2']"
89,The Journey of August King,"['Restoration', 'A Rumor of Angels', 'A Funny Thing Happened on the Way to the Forum', 'Rolling Thunder', 'Lancelot of the Lake']"
90,Mary Reilly,"['Dr. Jekyll and Mr. Hyde', 'The Girl', 'House of Dark Shadows', 'Zebrahead', 'Dr. Jekyll and Mr. Hyde']"
91,Vampire in Brooklyn,"['Scream Blacula Scream', ""Vampire's Kiss"", 'The Wisdom of Crocodiles', 'Blade II', 'Once Bitten']"
92,Beautiful Girls,"['Snow days', 'Rare Birds', 'Full Frontal', 'Ordinary Sinner', 'Mumford']"
93,Broken Arrow,"['Flight of the Phoenix', 'Running Scared', 'Iron Eagle II', 'The Blue Max', 'Air America']"
94,A Midwinter's Tale,"[""National Lampoon's Christmas Vacation"", 'Santa Claus Is a Stinker', 'Trial and Error', 'A Charlie Brown Christmas', 'Scrooged']"
95,La Haine,"['Romper Stomper', 'Mr. Klein', 'The Last Metro', 'Und keiner weint mir nach', 'Diebinnen']"
96,Shopping,"['Billy Bathgate', 'Young Guns', 'Rollerball', 'Babylon 5: The River of Souls', 'The Outlaw']"
97,Heidi Fleiss: Hollywood Madam,"[""Let's Talk About Sex"", 'Bloodsport II', 'Shrimp on the Barbie', 'Shoah', 'Threesome']"
98,City Hall,"['The Big Easy', 'Bad Lieutenant', 'Wolfen', 'French Connection II', 'Laura']"
99,Bottle Rocket,"['Monsieur Verdoux', 'Panic', 'How to Get Ahead in Advertising', 'P.S. Your Cat Is Dead!', 'Honeysuckle Rose']"
100,Mr. Wrong,"[""What's New Pussycat?"", 'Nothing in Common', 'Milwaukee, Minnesota', 'Play It Again, Sam', 'Stardust Memories']"
101,Unforgettable,"['The Beastmaster', 'Colonel Chabert', 'The Amateur', 'About Schmidt', 'At First Sight']"
102,Happy Gilmore,"['Tin Cup', 'The Best of Times', 'Benji: Off the Leash!', 'A Hole in the Head', 'Horse Feathers']"
103,The Bridges of Madison County,"['A Walk on the Moon', 'Afterglow', 'Proof', 'The Girl', 'Old San Francisco']"
104,Nobody Loves Me,"[""L'associé"", 'Ouch', 'Und keiner weint mir nach', 'Diebinnen', 'Went to Coney Island on a Mission from God... Be Back by Five']"
105,Muppet Treasure Island,"['Treasure Island', 'Treasure Island', 'Smoke Signals', 'Muppets from Space', 'Nicholas Nickleby']"
106,Catwalk,"['The Legend of Leigh Bowery', 'F for Fake', 'Condo Painting', 'Forget Baghdad: Jews and Arabs - The Iraqi Connection', 'Comandante']"
107,Headless Body in Topless Bar,"['Albino Alligator', 'A Boy Called Hate', 'Who Dares Wins', 'Never Again', 'Better Luck Tomorrow']"
108,Braveheart,"['Cromwell', 'Midway', 'Henry V', 'The Tragedy of Macbeth', 'Casualties of War']"
109,Taxi Driver,"['Death Wish', 'The Exterminator', 'Midnight Cowboy', 'WiseGirls', 'Uncommon Valor']"
110,Rumble in the Bronx,"['Song of the South', 'Unstrung Heroes', 'Uncle Buck', 'American Me', 'The Bachelor']"
111,Before and After,"['The Girl', 'The Proprietor', 'Slaves of New York', 'The Unsaid', 'Lockdown']"
112,Margaret's Museum,"['Ordinary Sinner', 'Picnic', 'Raggedy Man', 'The Proprietor', 'Slaves of New York']"
113,Happiness Is in the Field,"['About Schmidt', 'How to Get Ahead in Advertising', 'Honeysuckle Rose', 'Enemies: A Love Story', ""Bram Stoker's Dracula""]"
114,Anne Frank Remembered,"['Shoah', '28 Up', ""Long Night's Journey Into Day"", 'Freedom Downtime', 'Trinity And Beyond: The Atomic Bomb Movie']"
115,The Young Poisoner's Handbook,"['The Slaughter Rule', 'Resurrection Man', 'Frenzy', 'When Strangers Appear', ""L'eclisse""]"
116,If Lucy Fell,"['All Over the Guy', 'Snow days', 'Love and Other Catastrophes', 'Manhattan', 'Zebrahead']"
117,Steal Big Steal Little,"['The Hot Rock', 'Hot Lead & Cold Feet', 'The Ruling Class', 'Intimate Relations', 'Vagabond']"
118,Race the Sun,"['Sunset Park', 'The Prime of Miss Jean Brodie', 'Sweet Hearts Dance', 'When Brendan Met Trudy', 'The Reivers']"
119,The Boys of St. Vincent,"['The Proprietor', 'Slaves of New York', 'Cradle Will Rock', 'The Loss of Sexual Innocence', 'High Roller: The Stu Ungar Story']"
120,Boomerang,"['What Women Want', 'Dr. T and the Women', 'Pursuit of Happiness', 'Twentieth Century', 'How to Get Ahead in Advertising']"
121,Chungking Express,"['Stripes', 'P.S. Your Cat Is Dead!', 'Stardust Memories', 'The Bachelor', 'Honeysuckle Rose']"
122,The Star Maker,"['Carrie', 'Wings of Courage', 'An Awfully Big Adventure', 'Love Me Tender', 'Calendar']"
123,Flirting with Disaster,"['The Story of the Last Chrysanthemum', 'Honeysuckle Rose', 'Kabhi Khushi Kabhie Gham', 'How to Get Ahead in Advertising', 'It Started with Eve']"
124,The Neverending Story III: Escape from Fantasia,"['The NeverEnding Story', 'Bogus', 'Jack and the Beanstalk', 'James and the Giant Peach', 'The Neverending Story II: The Next Chapter']"
125,The Silences of the Palace,"['A Love Song for Bobby Long', 'The Bloody Child', 'Und keiner weint mir nach', 'Diebinnen', 'A Rumor of Angels']"
126,Jupiter's Wife,"['Class Action', 'Better Than Chocolate', 'Bless the Child', 'Comandante', 'A Decade Under the Influence']"
127,Pie in the Sky,"['Snow days', 'If You Only Knew', 'Modern Romance', 'A Smile Like Yours', 'Never Again']"
128,Angela,"[""I Love You, Don't Touch Me!"", 'Marion Bridge', 'Pauline & Paulette', 'Little Darlings', 'Love & Sex']"
129,Frankie Starlight,"['Venice', 'A Rumor of Angels', 'The Cowboys', 'The Incredibly True Adventure of Two Girls In Love', 'A Little Romance']"
130,Jade,"['Presumed Innocent', 'The Big Easy', 'Nightwatch', 'Laura', 'Thunderheart']"
131,Nueba Yol,"['Harry and Tonto', 'Nothing in Common', 'Across the Sea of Time', 'Super Fly', 'The Wedding Banquet']"
132,Sonic Outlaws,"['Only the Strong Survive', 'Hype!', 'Phish: Bittersweet Motel', 'I Am Trying to Break Your Heart', 'Metallica: Some Kind of Monster']"
133,Down Periscope,"['Run Silent, Run Deep', 'Crash Dive', 'The Incredible Mr. Limpet', 'Operation Pacific', 'Commandments']"
134,From the Journals of Jean Seberg,"['Shadows', 'The Kentucky Fried Movie', 'The Independent', 'Inside Deep Throat', 'Never Met Picasso']"
135,Man of the Year,"['Touch of Pink', 'P.S. Your Cat Is Dead!', ""All in a Night's Work"", 'Carried Away', 'Shampoo']"
136,The Neon Bible,"['Brighton Beach Memoirs', 'The Inheritance', 'Crane World', 'Raining Stones', 'El Bola']"
137,Target,"['A Boy Called Hate', 'The Proprietor', 'Tar', 'Slaves of New York', 'Badding']"
138,Up Close & Personal,"['Ice Castles', 'Cocktail', 'The Girl', 'Zebrahead', 'Foreign Student']"
139,The Birdcage,"['Touch of Pink', 'In & Out', 'Head On', 'P.S. Your Cat Is Dead!', 'A Hole in the Head']"
140,Virgin Mary,"['The Proprietor', 'Slaves of New York', 'True Confessions', 'The Third Miracle', 'To Kill a Priest']"
141,The Brothers McMullen,"['Jersey Girl', 'Annie Hall', 'The Closer You Get', 'Two Girls and a Guy', 'Anna Karenina']"
142,Bad Boys,"['Bad Boys II', 'Tony Rome', 'Novocaine', 'Triggermen', 'Monday']"
143,The Amazing Panda Adventure,"['Evergreen', 'M. Butterfly', 'The Sand Pebbles', 'Kidnapped', 'Andre']"
144,The Basketball Diaries,"['Above the Rim', ""Jesus' Son"", 'No Way Home', 'Drugstore Cowboy', ""Curtis's Charm""]"
145,An Awfully Big Adventure,"['The Proprietor', 'Slaves of New York', 'Und keiner weint mir nach', 'Diebinnen', 'The Girl']"
146,Amateur,"['Went to Coney Island on a Mission from God... Be Back by Five', 'The Girl', 'The Proprietor', 'Slaves of New York', 'Monster in a Box']"
147,Apollo 13,"['First Men in the Moon', 'The Reluctant Astronaut', 'The Right Stuff', 'Cat-Women of the Moon', 'Beyond the Stars']"
148,Rob Roy,"['Sweet Nothing', 'Honeysuckle Rose', 'Raining Stones', 'This World, Then the Fireworks', 'Benji: Off the Leash!']"
149,The Addiction,"['The Vampire Bat', 'House of Dark Shadows', 'The Wisdom of Crocodiles', 'Vampyr', 'Vampyros Lesbos']"
150,Batman Forever,"['Batman & Robin', 'Batman', 'Batman: Mask of the Phantasm', 'Batman Returns', 'Batman & Mr. Freeze: SubZero']"
151,Belle de Jour,"['Seventh Heaven', 'Love and Other Catastrophes', 'Stolen Kisses', 'Flowers of Shanghai', 'Le Bonheur']"
152,Beyond Rangoon,"['Sleeping with the Enemy', 'The Proprietor', 'Slaves of New York', 'Und keiner weint mir nach', 'Diebinnen']"
153,Blue in the Face,"['Smoke', 'Coffee and Cigarettes', 'The Sandlot', 'Touch of Pink', 'Half Baked']"
154,Canadian Bacon,"['The Disorderly Orderly', 'Margaret Cho: Notorious C.H.O.', 'The Independent', 'The Kentucky Fried Movie', 'Inside Deep Throat']"
155,Casper,"['13 Ghosts', 'The Haunted Mansion', 'Thir13en Ghosts', 'The Whip and the Body', 'Scrooged']"
156,Clockers,"['Animal Factory', 'No Way Home', ""Jesus' Son"", 'Salt of the Earth', 'Just Between Friends']"
157,Congo,"['Diamonds', 'Planet of the Apes', 'Signs', 'Eye of the Beholder', 'Switchback']"
158,Crimson Tide,"['Unstrung Heroes', 'Penitentiary II', 'Honeysuckle Rose', 'How to Get Ahead in Advertising', 'The Inheritance']"
159,Crumb,"['My Life and Times With Antonin Artaud', 'The Inheritance', 'Love Is the Devil: Study for a Portrait of Francis Bacon', 'About Schmidt', 'The Truman Show']"
160,Desperado,"['Never Die Alone', 'Death Wish 4: The Crackdown', 'From Dusk Till Dawn', 'Bring Me the Head of Alfredo Garcia', 'The Quick and the Dead']"
161,Devil in a Blue Dress,"['Mulholland Falls', 'Phantom Lady', ""White Man's Burden"", 'Insomnia', 'Where Sleeping Dogs Lie']"
162,Die Hard: With a Vengeance,"['God Told Me To', 'Die Hard', 'Loose Cannons', 'Harry and Tonto', 'One Good Cop']"
163,The Doom Generation,"['First Love, Last Rites', 'Better Than Sex', 'Diamonds', 'Caught', 'Love Object']"
164,Feast of July,"['Pastoral Symphony', 'The Proprietor', 'Slaves of New York', 'Katie Tippel', 'Jamaica Inn']"
165,First Knight,"['Lancelot of the Lake', 'Knights of the Round Table', 'Prince Valiant', 'Merlin', 'Monty Python and the Holy Grail']"
166,Free Willy 2 - The Adventure Home,"['Free Willy', 'Free Willy 3: The Rescue', 'Orca: The Killer Whale', 'Jonah: A VeggieTales Movie', 'Moby Dick']"
167,Hackers,"['Lawnmower Man 2: Beyond Cyberspace', 'WarGames', 'Antitrust', 'The Computer Wore Tennis Shoes', 'Electric Dreams']"
168,Jeffrey,"['The Object of My Affection', 'The Umbrella Woman', ""L'eclisse"", 'Washington Square', 'Boys Life 2']"
169,Johnny Mnemonic,"['Killing Emmett Young', 'Short Time', 'Panic', 'Penitentiary II', 'Timecop']"
170,Judge Dredd,"['Mad Max', 'Minority Report', ""Logan's Run"", 'Cyborg', 'Rollerball']"
171,Jury Duty,"['12 Angry Men', 'Ghosts of Mississippi', 'Went to Coney Island on a Mission from God... Be Back by Five', 'Runaway Jury', 'The Proprietor']"
172,Kids,"[""Def Jam's How to Be a Player"", 'First Desires', ""Say It Isn't So"", 'Love Object', 'Last Summer']"
173,Living in Oblivion,"['Day for Night', 'In the Soup', 'Demon Lover Diary', 'Forgotten Silver', 'Greetings']"
174,Lord of Illusions,"['Alone in the Dark', 'Deadly Blessing', 'Angel Heart', 'Bad Dreams', 'The Mask of Dimitrios']"
175,Love & Human Remains,"['Wondrous Oblivion', 'Sabrina', 'A Very Natural Thing', 'To Gillian on Her 37th Birthday', 'To Cross the Rubicon']"
176,Mad Love,"['The Run of the Country', ""I'll Do Anything"", 'The Other Sister', 'David and Lisa', ""Hallelujah I'm a Bum""]"
177,Mallrats,"['Snow days', 'All Over the Guy', 'Dawn of the Dead', ""Ferris Bueller's Day Off"", ""Def Jam's How to Be a Player""]"
178,Mighty Morphin Power Rangers: The Movie,"['Turbo: A Power Rangers Movie', 'Supergirl', 'Yu-Gi-Oh! The Movie', 'Synthetic Pleasures', 'Mr. North']"
179,Moonlight and Valentino,"['Snow days', 'The Rose Tattoo', 'The Girl', 'The Proprietor', 'Slaves of New York']"
180,Mute Witness,"['The Kentucky Fried Movie', 'The Independent', 'Shadows', 'Never Met Picasso', 'The Minus Man']"
181,Nadja,"['The Vampire Bat', 'Horror of Dracula', 'Scream Blacula Scream', 'Blade II', 'Dracula 2000']"
182,The Net,"['Fulltime Killer', 'City By The Sea', 'Nighthawks', 'Close Your Eyes', 'The Day of the Dolphin']"
183,Nine Months,"['Stripes', 'Alfie', 'Nothing in Common', 'P.S. Your Cat Is Dead!', 'The Bachelor']"
184,Party Girl,"['The Dreamlife of Angels', 'What Price Hollywood?', 'Tarzan the Fearless', 'Passion of Mind', 'Three Men and a Little Lady']"
185,The Prophecy,"['The Prophecy 3: The Ascent', 'The Prophecy II', ""Don't Tempt Me"", 'A Matter of Life and Death', 'Almost an Angel']"
186,Reckless,"['A Christmas Carol', 'Scrooged', 'Mixed Nuts', 'Faithful', 'A Charlie Brown Christmas']"
187,Safe,"['My Life Without Me', 'The Royal Tenenbaums', 'Face to Face', 'The Doctor', 'The Prince of Tides']"
188,The Scarlet Letter,"['Zebrahead', 'The Scarlet Letter', 'Heat and Dust', 'The Girl', 'The Proprietor']"
189,The Show,"['Rhyme & Reason', ""It's All True"", 'Fahrenhype 9/11', 'F for Fake', 'Condo Painting']"
190,Showgirls,"['The Company', 'Semi-Tough', 'The Proprietor', 'Slaves of New York', 'Elmer Gantry']"
191,Smoke,"['Sweet Nothing', 'About Schmidt', 'The Inheritance', 'Honeysuckle Rose', 'P.S. Your Cat Is Dead!']"
192,Something to Talk About,"['The Rutles: All You Need Is Cash', 'Never Again', 'Lili Marleen', 'It Runs in the Family', 'The Next Best Thing']"
193,Species,"['It Conquered the World', 'DNA', 'Without Warning', 'Species II', 'The Thing']"
194,The Stars Fell on Henrietta,"['On Deadly Ground', 'Rollover', 'The World Is Not Enough', 'The Soldier', 'Groundhog Day']"
195,Strange Days,"['Mulholland Falls', 'Memories of Murder', 'Twilight', 'True Confessions', 'Monster']"
196,The Umbrellas of Cherbourg,"['Jules and Jim', 'Double Suicide', 'Dil Se..', 'Bootmen', 'The Pompatus of Love']"
197,The Tie That Binds,"['Holy Matrimony', 'Shampoo', 'All the Mornings of the World', 'Before and After', 'Boys']"
198,Three Wishes,"['Larger Than Life', 'Love the Hard Way', 'American Heart', 'Ed', 'Shiloh']"
199,Total Eclipse,"['The Girl', 'Sylvia', 'Tom & Viv', 'Le Divorce', 'The Barretts of Wimpole Street']"
200,"To Wong Foo, Thanks for Everything! Julie Newmar","['The Adventures of Priscilla, Queen of the Desert', 'Paris is Burning', 'The Waiting Game', 'The Birdcage', 'The Cowboy Way']"
201,Under Siege 2: Dark Territory,"['An Officer and a Gentleman', 'Under Siege', ""Von Ryan's Express"", 'Passenger 57', '9 Deaths of the Ninja']"
202,Unstrung Heroes,"['The Inheritance', 'Song of the South', 'P.S. Your Cat Is Dead!', 'The Hanging Garden', 'Honeysuckle Rose']"
203,Unzipped,"['The Legend of Leigh Bowery', 'Cool World', 'Cross Creek', 'Anne Frank Remembered', 'Prêt-à-Porter']"
204,A Walk in the Clouds,"['The White Cliffs of Dover', 'Written on the Wind', 'Mrs. Miniver', 'The Man in the Gray Flannel Suit', 'Cross Creek']"
205,Waterworld,"['No Escape', 'The Black Stallion', 'Shipwrecked', ""The Devil at 4 O'Clock"", 'The Crimson Pirate']"
206,White Man's Burden,"['Rocket Gibraltar', 'The Landlord', 'The Great White Hope', 'Bopha!', 'Thomas in Love']"
207,Wild Bill,"['The Paleface', 'The Plainsman', 'Calamity Jane', ""Hang 'em High"", 'The Desert Fox: The Story of Rommel']"
208,The Browning Version,"['The Inheritance', 'The Truman Show', 'Carried Away', 'Honeysuckle Rose', 'P.S. Your Cat Is Dead!']"
209,Bushwhacked,"['State Property 2', 'Money Talks', 'Postman Blues', 'The Wrong Guys', 'Family Business']"
210,Burnt by the Sun,"['No One Writes to the Colonel', 'Sweet Nothing', 'Honeysuckle Rose', 'The Inheritance', 'Providence']"
211,Before the Rain,"['The Beguiled', 'The Unknown Soldier', 'The Diary of Anne Frank', 'Fun', 'The Beast of War']"
212,Before Sunrise,"['Before Sunset', 'A Little Romance', 'Children of Paradise', 'Zebrahead', 'Foreign Student']"
213,Billy Madison,"[""Spencer's Mountain"", 'Lost Embrace', 'Panic', 'Commandments', 'Larger Than Life']"
